id,title,author,price,category,retrieved_at
61,"Уметнички разделник, Impressionists - Claude Monet: Woman with a parasol",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
62,"Уметнички разделник, Impressionists - Edgar Degas: Dancers in Pink",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
63,"Уметнички разделник, Impressionists - Edgar Degas: The Star",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
64,"Уметнички разделник, Van Gogh - Sunflowers",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
65,"Уметнички разделник, Van Gogh - Bedroom in Arles",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
66,"Уметнички разделник, Van Gogh - Almond Blossom",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
67,"Уметнички разделник, Van Gogh - Wheat Field with Cypresses",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
68,"Уметнички разделник, Van Gogh - Starry Night",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
69,"Уметнички разделник, Van Gogh - Café de Nuit",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
70,"Уметнички разделник, Rosina Wachtmeister - My garden",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
71,"Уметнички разделник, Rosina Wachtmeister - Fantasy",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
72,"Уметнички разделник, Rosina Wachtmeister - Wonderland",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
73,"Уметнички разделник, Rosina Wachtmeister - Stelle per due",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
74,"Уметнички разделник, Rosina Wachtmeister - Giardino delle Rose",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
75,"Уметнички разделник, Rosina Wachtmeister - Dolce Vita",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
76,"Уметнички разделник, Rosina Wachtmeister - Bunte Katzen",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
77,"Уметнички разделник, Rosina Wachtmeister - Visit to the theatre",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
78,"Уметнички разделник, Rosina Wachtmeister - Momenti di felicità",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
79,"Уметнички разделник, Rosina Wachtmeister - Vita Familiare",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
